epoch,cate_output_categorical_accuracy,cate_output_loss,loss,lr,sequential_loss,val_cate_output_categorical_accuracy,val_cate_output_loss,val_loss,val_sequential_loss
0,0.6834976077079773,20.94072151184082,23.51289176940918,0.000979949,2.5721704959869385,0.7117277383804321,19.74214744567871,22.357952117919922,2.61579966545105
1,0.7645560503005981,16.00275421142578,18.562734603881836,0.0009214205,2.560025215148926,0.7367823719978333,17.65453338623047,20.223236083984375,2.568699359893799
2,0.7786678671836853,14.650901794433594,17.165019989013672,0.0008291561,2.514071464538574,0.7344276905059814,17.41966438293457,19.99603843688965,2.576375722885132
3,0.7872597575187683,13.67895793914795,16.196605682373047,0.00071063044,2.5175793170928955,0.7290745377540588,17.3343505859375,19.922225952148438,2.5878727436065674
4,0.7946552634239197,12.782784461975098,15.31548023223877,0.0005754458,2.5327541828155518,0.7423387765884399,16.071514129638672,18.666969299316406,2.5954630374908447
5,0.8008286356925964,11.989415168762207,14.545341491699219,0.00043455415,2.555896520614624,0.7385780215263367,16.087568283081055,18.690526962280273,2.602949857711792
6,0.8060237765312195,11.318700790405273,13.892335891723633,0.00029936957,2.573612928390503,0.7461333870887756,15.331949234008789,17.939346313476562,2.6074068546295166
7,0.8099811673164368,10.784427642822266,13.36652946472168,0.00018084394,2.582078218460083,0.7449814677238464,15.255443572998047,17.866321563720703,2.6108741760253906
8,0.8128122687339783,10.402459144592285,12.988062858581543,8.85795e-05,2.5855515003204346,0.7441005706787109,15.127196311950684,17.741249084472656,2.6140551567077637
9,0.8144611716270447,10.180533409118652,12.76718807220459,3.0050978e-05,2.586591958999634,0.7443546652793884,15.110358238220215,17.723852157592773,2.6134886741638184
